 Game  starts at: 11/20/2024 8:22:17 PM  
Event,Result,Datetime
Count Shot (GunController),1, 11/20/2024 8:22:19 PM 
Score (BulletController), 882 , 11/20/2024 8:22:19 PM 
Count Shot (GunController),2, 11/20/2024 8:22:20 PM 
Score (BulletController), 1701 , 11/20/2024 8:22:20 PM 
Count Shot (GunController),3, 11/20/2024 8:22:21 PM 
Score (BulletController), 2468 , 11/20/2024 8:22:21 PM 
Count Shot (GunController),4, 11/20/2024 8:22:22 PM 
Score (BulletController), 3177 , 11/20/2024 8:22:23 PM 
Count Shot (GunController),5, 11/20/2024 8:22:24 PM 
Score (BulletController), 3814 , 11/20/2024 8:22:24 PM 
Count Shot (GunController),1, 11/20/2024 8:22:34 PM 
Score (BulletController), 593 , 11/20/2024 8:22:34 PM 
Count Shot (GunController),2, 11/20/2024 8:22:35 PM 
Count Shot (GunController),3, 11/20/2024 8:22:36 PM 
Count Shot (GunController),4, 11/20/2024 8:22:38 PM 
Score (BulletController), 989 , 11/20/2024 8:22:38 PM 
Count Shot (GunController),5, 11/20/2024 8:22:39 PM 
Score (BulletController), 1334 , 11/20/2024 8:22:39 PM 
Count Shot (GunController),1, 11/20/2024 8:22:49 PM 
Score (BulletController), 896 , 11/20/2024 8:22:49 PM 
Count Shot (GunController),2, 11/20/2024 8:22:51 PM 
Count Shot (GunController),3, 11/20/2024 8:22:51 PM 
Count Shot (GunController),4, 11/20/2024 8:22:51 PM 
Count Shot (GunController),5, 11/20/2024 8:22:52 PM 
Score (BulletController), 1644 , 11/20/2024 8:22:52 PM 
Count Shot (GunController),6, 11/20/2024 8:22:53 PM 
Score (BulletController), 2333 , 11/20/2024 8:22:54 PM 
Count Shot (GunController),7, 11/20/2024 8:22:54 PM 
Count Shot (GunController),8, 11/20/2024 8:22:54 PM 
Score (BulletController), 2992 , 11/20/2024 8:22:54 PM 
Count Shot (GunController),1, 11/20/2024 8:22:56 PM 
Count Shot (GunController),2, 11/20/2024 8:22:56 PM 
Score (BulletController), 934 , 11/20/2024 8:22:56 PM 
Count Shot (GunController),3, 11/20/2024 8:22:57 PM 
Score (BulletController), 1843 , 11/20/2024 8:22:57 PM 
Count Shot (GunController),4, 11/20/2024 8:22:58 PM 
Score (BulletController), 2692 , 11/20/2024 8:22:58 PM 
Count Shot (GunController),5, 11/20/2024 8:22:59 PM 
Score (BulletController), 3491 , 11/20/2024 8:22:59 PM 
Count Shot (GunController),1, 11/20/2024 8:23:11 PM 
Count Shot (GunController),2, 11/20/2024 8:23:13 PM 
Count Shot (GunController),3, 11/20/2024 8:23:14 PM 
Final Result: , Score, 0
***** Game Over (LogicScript), Game Over ,11/20/2024 8:23:14 PM , ***** 
Count Shot (GunController),1, 11/20/2024 8:43:11 PM 
Score (BulletController), 991 , 11/20/2024 8:43:11 PM 
Count Shot (GunController),2, 11/20/2024 8:43:12 PM 
Count Shot (GunController),3, 11/20/2024 8:43:12 PM 
Score (BulletController), 1902 , 11/20/2024 8:43:12 PM 
Count Shot (GunController),4, 11/20/2024 8:43:14 PM 
Score (BulletController), 2744 , 11/20/2024 8:43:14 PM 
Count Shot (GunController),5, 11/20/2024 8:43:14 PM 
Count Shot (GunController),6, 11/20/2024 8:43:15 PM 
Score (BulletController), 3533 , 11/20/2024 8:43:15 PM 
