 Game  starts at: 1/2/2025 7:14:08 PM  
Event,Result,Datetime
Count Shot (GunController),1, 1/2/2025 7:14:14 PM 
Count Shot (GunController),2, 1/2/2025 7:14:18 PM 
Score (BulletController), 567 , 1/2/2025 7:14:18 PM 
Count Shot (GunController),3, 1/2/2025 7:14:19 PM 
Count Shot (GunController),4, 1/2/2025 7:14:22 PM 
Count Shot (GunController),5, 1/2/2025 7:14:23 PM 
Count Shot (GunController),6, 1/2/2025 7:14:28 PM 
Count Shot (GunController),7, 1/2/2025 7:14:28 PM 
Count Shot (GunController),8, 1/2/2025 7:14:29 PM 
Count Shot (GunController),9, 1/2/2025 7:14:29 PM 
Count Shot (GunController),1, 1/2/2025 7:16:01 PM 
Count Shot (GunController),2, 1/2/2025 7:16:04 PM 
Count Shot (GunController),3, 1/2/2025 7:16:04 PM 
Count Shot (GunController),4, 1/2/2025 7:16:05 PM 
Count Shot (GunController),5, 1/2/2025 7:16:06 PM 
Count Shot (GunController),6, 1/2/2025 7:16:06 PM 
